,ID,Accident_Severity,Description,City,State,date
0,A-512230,2,Accident on Day Rd near CR-7 Slayton Settlement Rd.,Lockport,NY,2020-12-31
76,A-512307,3,Two lanes blocked due to accident on I-278 Brooklyn Queens Expy Westbound at Kent Ave.,Brooklyn,NY,2020-12-30
1483,A-513719,4,Lane blocked due to accident on I-380 Northbound between Exit 13 PA-507 and Exit 20 PA-307.,Moscow,PA,2020-12-29
4018,A-516254,2,Left lane blocked due to accident on WA-520 Westbound at Montlake Blvd.,Seattle,WA,2020-12-28
4560,A-516796,3,Entry ramp closed due to incident on Port Miami Tunnel Westbound at fl-886.,Miami,FL,2020-12-27
5975,A-518211,3,Three lanes blocked due to accident on I-5 Northbound at Exits 134 135 136 136A 136B 28th St.,Tacoma,WA,2020-12-26
6347,A-518583,3,Entry ramp to I-24 Eastbound from I-65 Northbound closed due to police incident.,Nashville,TN,2020-12-25
6563,A-518799,2,Entry ramp to A.C. Expressway Westbound from Albany Blvdc Westbound closed due to emergency repairs.,Atlantic City,NJ,2020-11-30
6637,A-518873,4,Accident on I-77 Southbound from Exit 8 VA-148 Chances Creek Rd to Exit 1 VA-620 Lambsburg Rd.,Lambsburg,VA,2020-12-24
7777,A-520013,3,Lane blocked due to accident on I-90 Kennedy Expy Westbound at Exit 45A Addison St.,Chicago,IL,2020-12-23
9157,A-521393,3,Lane blocked due to accident on I-90 Kennedy Expy Eastbound at Logan Blvd.,Chicago,IL,2020-12-22
11206,A-523443,3,HOV lane blocked due to accident on I-5 Southbound before Exit 152 188th St.,Seattle,WA,2020-12-21
12013,A-524250,3,Entry ramp closed due to incident on Port Miami Tunnel Westbound in Star Palm & Hibiscus Islands.,Miami,FL,2020-12-20
13192,A-525429,3,Entry ramp closed due to incident on Port Miami Tunnel Westbound at Fl-886.,Miami,FL,2020-12-19
13662,A-525899,4,One lane blocked due to accident on I-440 Cliff Benson Beltline Eastbound from Exit 7 / Glenwood Ave to Exit 8A / Six Forks Rd.,Raleigh,NC,2020-12-18
14237,A-526474,3,Right lane blocked due to accident on Garden State Pkwy Northbound at Exit 144 Myrtle Ave.,Irvington,NJ,2020-12-17
16844,A-529082,2,Left lane closed due to accident on MO-364 Westbound after Exit 8A MO-94.,Saint Charles,MO,2020-12-16
19406,A-531644,3,#2 #3 #4 #5 lane blocked due to accident on I-105 Eastbound at Garfield Ave. SigAlert issued.,Paramount,CA,2020-12-15
20965,A-533203,2,Two lanes blocked due to accident on CA-60 Westbound at Jack Rabbit Trl.,Moreno Valley,CA,2020-12-14
21673,A-533911,3,Entry ramp closed due to incident on Port Miami Tunnel Eastbound at FL-A1A Macarthur Cswy.,Miami,FL,2020-12-13
22920,A-535158,3,Entry ramp closed due to incident on Port Miami Tunnel Westbound at fl-886.,Miami,FL,2020-12-12
23655,A-535893,3,Right lane closed due to accident on I-44 Westbound before Exit 286 Hampton Ave.,Saint Louis,MO,2020-12-11
24912,A-537150,3,Lane blocked due to accident on I-90 Dan Ryan Expy Westbound at Exits 54 55A 55B 56A 56B Wentworth Ave.,Chicago,IL,2020-12-10
26665,A-538903,4,Two lanes blocked due to accident on I-94 Eastbound from Old Us-41 to Exit 1 I-41 Exit 1A.,Wadsworth,IL,2020-12-09
28625,A-540863,2,Lane blocked due to accident on US-231 Northbound at Bledsoe Rd.,Hazel Green,AL,2020-12-08
