,EventId,Type,Severity,TimeZone,AirportCode,City_x,State_x,date,ID,Accident_Severity,Description,City_y,State_y
0,W-1722,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-01,A-978027,2,Accident on I-90 Westbound between Exit 48 NY-98 and Exit 49 NY-78 Transit Rd.,Buffalo,NY
1,W-1723,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-02,A-978375,2,Accident on Oak Ridge Rd at Tiner Ave.,Orlando,FL
2,W-1729,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-10,A-886644,1,Accident on Silverton Rd at Stapleton Ave.,Brick,NJ
3,W-1730,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-12,A-890815,3,Left lane blocked and left hand shoulder blocked due to accident on I-96 Eastbound at Exit 183 M-39 Exit 11A.,Detroit,MI
4,W-1731,Fog,Severe,US/Mountain,K04V,Saguache,CO,2020-01-17,A-899234,3,Right lane blocked due to accident on I-278 Brooklyn Queens Expy Eastbound at Exit 27 Atlantic Ave.,Brooklyn,NY
5,W-1736,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-22,A-907177,3,Right lane closed and right hand shoulder closed due to accident on I-64 Westbound in Westbriar.,Henrico,VA
6,W-1739,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-27,A-917047,2,Accident on I-90 Westbound at Exit 60 NY-394 Portage St.,Westfield,NY
7,W-1741,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-02-03,A-928340,3,Left lane blocked due to accident on I-80 Westbound at Exits 34A 34B NJ-15.,Wharton,NJ
8,W-1743,Fog,Moderate,US/Mountain,K04V,Saguache,CO,2020-02-04,A-928929,2,Accident on I-90 Eastbound at Exit 48A NY-77 Alleghany Rd.,Corfu,NY
9,W-1746,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-02-07,A-935784,2,Accident on M-54 Dort Hwy at Mt Morris Rd.,Mount Morris,MI
10,W-1757,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-02-10,A-941844,3,Two lanes blocked due to accident on I-96 Eastbound at Exits 186A 186B Davison.,Detroit,MI
11,W-1762,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-02-11,A-942558,3,Center and right lane blocked and left hand shoulder blocked due to accident on I-94 Eastbound at Exit 198-199 Merriman Rd.,Romulus,MI
12,W-1767,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-02-17,A-955238,4,Lane blocked due to accident on I-85 Southbound from Exits 38 39 I-77 Exits 13A 13B to Exit 37 Beatties Ford Rd.,Charlotte,NC
13,W-1769,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-02-23,A-966680,2,Exit ramp from FL-826 Westbound to Nw 167th St Westbound closed. Emergency vehicles.,Miami Gardens,FL
14,W-1776,Storm,Severe,US/Mountain,K04V,Saguache,CO,2020-02-24,A-873879,3,Entry ramp to I-59 Northbound from I-59 Service Rd closed due to flooding.,Pearl River,LA
15,W-1778,Cold,Severe,US/Mountain,K04V,Saguache,CO,2020-02-26,A-970101,3,Left hand shoulder blocked and left and center lane blocked due to accident on I-94 Westbound at Exit 202 US-24 Telegraph Rd.,Taylor,MI
16,W-1780,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-03-08,A-821720,2,Two lanes blocked and right hand shoulder blocked due to accident on Southfield Fwy Northbound after Elmira St.,Detroit,MI
17,W-1783,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-03-09,A-822348,3,2 lane blocked due to accident on I-278 Brooklyn Queens Expy Eastbound at Exit 39W 65th Pl.,Woodside,NY
18,W-1784,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-03-13,A-830655,2,Accident on NY-60 Northbound near US-20 Main St.,Fredonia,NY
19,W-1790,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-03-19,A-837364,3,Two lanes blocked due to accident on I-285 Northbound at Exit 12 US-278 Donald Lee Hollowell Pkwy.,Atlanta,GA
20,W-1796,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-03-20,A-838114,2,Accident on I-190 Southbound after Exit 14 NY-266 Niagara St.,Buffalo,NY
21,W-1801,Fog,Severe,US/Mountain,K04V,Saguache,CO,2020-03-22,A-840946,3,Right lane blocked due to accident on I-95 Cross Bronx Expy Northbound at Exit 6A Bruckner Blvd.,Bronx,NY
22,W-1802,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-03-24,A-842018,3,Two lanes blocked due to accident on I-278 Brooklyn Queens Expy Eastbound at Exit 39W 65th Pl.,Woodside,NY
23,W-1803,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-03-28,A-847572,3,Right lane blocked and right hand shoulder blocked due to accident on I-94 Westbound at Exit 213B I-96 Exit 190A.,Detroit,MI
24,W-1806,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-03-30,A-3606850,2,At VT-73 - Accident. Right lane closed.,Brandon,VT
25,W-1808,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-04-03,A-848591,3,Lane blocked due to accident on I-90 Eastbound between I-79 and US-19 Peach St.,Erie,PA
26,W-1809,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-04-10,A-855101,3,Left lane blocked due to accident on I-290 Westbound at Exit 2 NY-425 Colvin Blvd.,Tonawanda,NY
27,W-1810,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-04-12,A-856258,3,Left lane blocked due to accident on I-95 Northbound at Exit 14 I-78.,Newark,NJ
