,EventId,Type,Severity,Weather_Start_Time(UTC),EndTime(UTC),TimeZone,AirportCode,City,State,ID,Accident_Severity,Accident_Start_Time,Accident_End_Time,Description
0,W-1940944,Fog,Moderate,2020-01-07 16:53:00,2020-01-07 17:53:00,US/Mountain,KLND,Lander,WY,,,,,
1,W-1940945,Snow,Light,2020-01-14 17:43:00,2020-01-14 18:29:00,US/Mountain,KLND,Lander,WY,,,,,
2,W-1940946,Snow,Light,2020-01-14 20:53:00,2020-01-14 21:53:00,US/Mountain,KLND,Lander,WY,,,,,
3,W-1940947,Snow,Light,2020-01-27 11:53:00,2020-01-27 14:19:00,US/Mountain,KLND,Lander,WY,,,,,
4,W-1940948,Snow,Moderate,2020-01-27 14:19:00,2020-01-27 14:53:00,US/Mountain,KLND,Lander,WY,,,,,
5,W-1940949,Snow,Heavy,2020-01-27 14:53:00,2020-01-27 15:13:00,US/Mountain,KLND,Lander,WY,,,,,
6,W-1940950,Snow,Light,2020-01-27 15:13:00,2020-01-27 15:35:00,US/Mountain,KLND,Lander,WY,,,,,
7,W-1940951,Snow,Moderate,2020-01-27 15:35:00,2020-01-27 16:44:00,US/Mountain,KLND,Lander,WY,,,,,
8,W-1940952,Snow,Light,2020-01-27 16:44:00,2020-01-27 17:53:00,US/Mountain,KLND,Lander,WY,,,,,
9,W-1940953,Snow,Light,2020-01-27 20:53:00,2020-01-27 21:53:00,US/Mountain,KLND,Lander,WY,,,,,
10,W-1940954,Snow,Light,2020-01-27 22:32:00,2020-01-27 22:46:00,US/Mountain,KLND,Lander,WY,,,,,
11,W-1940955,Snow,Light,2020-01-29 08:18:00,2020-01-29 08:53:00,US/Mountain,KLND,Lander,WY,,,,,
12,W-1940956,Snow,Light,2020-01-29 09:26:00,2020-01-29 11:53:00,US/Mountain,KLND,Lander,WY,,,,,
13,W-1940957,Snow,Light,2020-01-29 12:24:00,2020-01-29 13:53:00,US/Mountain,KLND,Lander,WY,,,,,
14,W-1940958,Snow,Moderate,2020-01-29 13:53:00,2020-01-29 14:13:00,US/Mountain,KLND,Lander,WY,,,,,
15,W-1940959,Snow,Light,2020-01-29 14:13:00,2020-01-29 14:53:00,US/Mountain,KLND,Lander,WY,,,,,
16,W-1940960,Snow,Moderate,2020-01-29 14:53:00,2020-01-29 15:53:00,US/Mountain,KLND,Lander,WY,,,,,
17,W-1940961,Fog,Severe,2020-01-30 03:46:00,2020-01-30 04:37:00,US/Mountain,KLND,Lander,WY,,,,,
18,W-1940962,Fog,Severe,2020-01-30 05:42:00,2020-01-30 06:20:00,US/Mountain,KLND,Lander,WY,,,,,
19,W-1940963,Snow,Light,2020-01-30 11:53:00,2020-01-30 12:08:00,US/Mountain,KLND,Lander,WY,,,,,
20,W-1940964,Snow,Light,2020-02-03 04:20:00,2020-02-03 04:41:00,US/Mountain,KLND,Lander,WY,,,,,
21,W-1940965,Snow,Moderate,2020-02-03 04:41:00,2020-02-03 05:28:00,US/Mountain,KLND,Lander,WY,,,,,
22,W-1940966,Snow,Light,2020-02-03 05:28:00,2020-02-03 05:38:00,US/Mountain,KLND,Lander,WY,,,,,
23,W-1940967,Snow,Moderate,2020-02-03 05:38:00,2020-02-03 06:05:00,US/Mountain,KLND,Lander,WY,,,,,
24,W-1940968,Snow,Light,2020-02-03 06:05:00,2020-02-03 06:22:00,US/Mountain,KLND,Lander,WY,,,,,
25,W-1940969,Snow,Moderate,2020-02-03 06:22:00,2020-02-03 06:53:00,US/Mountain,KLND,Lander,WY,,,,,
26,W-1940970,Snow,Heavy,2020-02-03 06:53:00,2020-02-03 07:28:00,US/Mountain,KLND,Lander,WY,,,,,
27,W-1940971,Snow,Moderate,2020-02-03 07:28:00,2020-02-03 07:39:00,US/Mountain,KLND,Lander,WY,,,,,
28,W-1940972,Snow,Heavy,2020-02-03 07:39:00,2020-02-03 09:53:00,US/Mountain,KLND,Lander,WY,,,,,
29,W-1940973,Snow,Moderate,2020-02-03 09:53:00,2020-02-03 10:07:00,US/Mountain,KLND,Lander,WY,,,,,
30,W-1940974,Snow,Light,2020-02-03 10:07:00,2020-02-03 10:53:00,US/Mountain,KLND,Lander,WY,,,,,
31,W-1940975,Snow,Moderate,2020-02-03 10:53:00,2020-02-03 14:18:00,US/Mountain,KLND,Lander,WY,,,,,
32,W-1940976,Snow,Light,2020-02-03 14:18:00,2020-02-03 14:42:00,US/Mountain,KLND,Lander,WY,,,,,
33,W-1940977,Snow,Moderate,2020-02-03 14:42:00,2020-02-03 15:17:00,US/Mountain,KLND,Lander,WY,,,,,
34,W-1940978,Snow,Light,2020-02-03 15:17:00,2020-02-03 15:41:00,US/Mountain,KLND,Lander,WY,,,,,
35,W-1940979,Snow,Moderate,2020-02-03 15:41:00,2020-02-03 15:53:00,US/Mountain,KLND,Lander,WY,,,,,
36,W-1940980,Snow,Heavy,2020-02-03 15:53:00,2020-02-03 16:16:00,US/Mountain,KLND,Lander,WY,,,,,
37,W-1940981,Snow,Light,2020-02-03 16:16:00,2020-02-03 19:31:00,US/Mountain,KLND,Lander,WY,,,,,
38,W-1940982,Snow,Moderate,2020-02-03 19:31:00,2020-02-03 22:16:00,US/Mountain,KLND,Lander,WY,,,,,
39,W-1940983,Snow,Light,2020-02-03 22:16:00,2020-02-03 23:53:00,US/Mountain,KLND,Lander,WY,,,,,
40,W-1940984,Snow,Moderate,2020-02-03 23:53:00,2020-02-04 00:06:00,US/Mountain,KLND,Lander,WY,,,,,
41,W-1940985,Snow,Light,2020-02-04 00:06:00,2020-02-04 02:53:00,US/Mountain,KLND,Lander,WY,,,,,
42,W-1940986,Snow,Moderate,2020-02-04 02:53:00,2020-02-04 03:49:00,US/Mountain,KLND,Lander,WY,,,,,
43,W-1940987,Snow,Light,2020-02-04 03:49:00,2020-02-04 11:27:00,US/Mountain,KLND,Lander,WY,,,,,
44,W-1940988,Snow,Light,2020-02-06 23:21:00,2020-02-07 01:36:00,US/Mountain,KLND,Lander,WY,,,,,
45,W-1940989,Snow,Moderate,2020-02-07 01:36:00,2020-02-07 02:00:00,US/Mountain,KLND,Lander,WY,,,,,
46,W-1940990,Snow,Light,2020-02-07 02:00:00,2020-02-07 05:53:00,US/Mountain,KLND,Lander,WY,,,,,
47,W-1940991,Snow,Light,2020-02-07 07:18:00,2020-02-07 08:53:00,US/Mountain,KLND,Lander,WY,,,,,
48,W-1940992,Snow,Light,2020-02-07 13:00:00,2020-02-07 13:12:00,US/Mountain,KLND,Lander,WY,,,,,
49,W-1940993,Snow,Light,2020-02-07 13:53:00,2020-02-07 15:53:00,US/Mountain,KLND,Lander,WY,,,,,
50,W-1940994,Fog,Severe,2020-02-08 01:53:00,2020-02-08 02:47:00,US/Mountain,KLND,Lander,WY,,,,,
51,W-1940995,Fog,Severe,2020-02-08 02:53:00,2020-02-08 16:10:00,US/Mountain,KLND,Lander,WY,,,,,
52,W-1940996,Snow,Light,2020-02-09 04:20:00,2020-02-09 07:53:00,US/Mountain,KLND,Lander,WY,,,,,
53,W-1940997,Snow,Moderate,2020-02-09 07:53:00,2020-02-09 08:05:00,US/Mountain,KLND,Lander,WY,,,,,
54,W-1940998,Snow,Light,2020-02-09 08:05:00,2020-02-09 08:53:00,US/Mountain,KLND,Lander,WY,,,,,
55,W-1940999,Snow,Light,2020-02-10 15:53:00,2020-02-10 18:53:00,US/Mountain,KLND,Lander,WY,,,,,
56,W-1941000,Snow,Light,2020-02-12 17:24:00,2020-02-12 18:19:00,US/Mountain,KLND,Lander,WY,,,,,
57,W-1941001,Snow,Light,2020-02-13 00:06:00,2020-02-13 00:47:00,US/Mountain,KLND,Lander,WY,,,,,
58,W-1941002,Fog,Severe,2020-02-13 17:49:00,2020-02-13 18:05:00,US/Mountain,KLND,Lander,WY,,,,,
59,W-1941003,Fog,Severe,2020-02-13 18:13:00,2020-02-13 18:24:00,US/Mountain,KLND,Lander,WY,,,,,
60,W-1941004,Fog,Severe,2020-02-14 04:15:00,2020-02-14 05:20:00,US/Mountain,KLND,Lander,WY,,,,,
61,W-1941005,Fog,Severe,2020-02-14 11:45:00,2020-02-14 15:58:00,US/Mountain,KLND,Lander,WY,,,,,
62,W-1941006,Fog,Severe,2020-02-20 07:53:00,2020-02-20 08:03:00,US/Mountain,KLND,Lander,WY,,,,,
63,W-1941007,Snow,Light,2020-02-25 05:31:00,2020-02-25 05:53:00,US/Mountain,KLND,Lander,WY,,,,,
64,W-1941008,Snow,Light,2020-02-25 06:02:00,2020-02-25 07:53:00,US/Mountain,KLND,Lander,WY,,,,,
65,W-1941009,Snow,Moderate,2020-02-25 07:53:00,2020-02-25 08:12:00,US/Mountain,KLND,Lander,WY,,,,,
66,W-1941010,Snow,Light,2020-02-25 08:12:00,2020-02-25 08:41:00,US/Mountain,KLND,Lander,WY,,,,,
67,W-1941011,Snow,Moderate,2020-02-25 08:41:00,2020-02-25 08:59:00,US/Mountain,KLND,Lander,WY,,,,,
68,W-1941012,Snow,Light,2020-02-25 08:59:00,2020-02-25 10:31:00,US/Mountain,KLND,Lander,WY,,,,,
69,W-1941013,Snow,Moderate,2020-02-25 10:31:00,2020-02-25 10:59:00,US/Mountain,KLND,Lander,WY,,,,,
70,W-1941014,Snow,Light,2020-02-25 10:59:00,2020-02-25 12:53:00,US/Mountain,KLND,Lander,WY,,,,,
71,W-1941015,Snow,Light,2020-02-25 13:53:00,2020-02-25 14:53:00,US/Mountain,KLND,Lander,WY,,,,,
72,W-1941016,Snow,Light,2020-02-25 15:21:00,2020-02-25 17:44:00,US/Mountain,KLND,Lander,WY,,,,,
73,W-1941017,Cold,Severe,2020-02-27 16:53:00,2020-02-27 18:53:00,US/Mountain,KLND,Lander,WY,,,,,
74,W-1941018,Snow,Light,2020-03-01 10:53:00,2020-03-01 11:49:00,US/Mountain,KLND,Lander,WY,,,,,
75,W-1941019,Snow,Moderate,2020-03-01 11:49:00,2020-03-01 12:53:00,US/Mountain,KLND,Lander,WY,,,,,
76,W-1941020,Snow,Heavy,2020-03-01 12:53:00,2020-03-01 13:01:00,US/Mountain,KLND,Lander,WY,,,,,
77,W-1941021,Snow,Light,2020-03-01 13:01:00,2020-03-01 13:31:00,US/Mountain,KLND,Lander,WY,,,,,
78,W-1941022,Snow,Moderate,2020-03-01 13:31:00,2020-03-01 14:40:00,US/Mountain,KLND,Lander,WY,,,,,
79,W-1941023,Snow,Heavy,2020-03-01 14:40:00,2020-03-01 16:39:00,US/Mountain,KLND,Lander,WY,,,,,
80,W-1941024,Snow,Moderate,2020-03-01 16:39:00,2020-03-01 17:32:00,US/Mountain,KLND,Lander,WY,,,,,
81,W-1941025,Snow,Light,2020-03-01 17:32:00,2020-03-01 17:53:00,US/Mountain,KLND,Lander,WY,,,,,
82,W-1941026,Snow,Moderate,2020-03-01 17:53:00,2020-03-01 18:26:00,US/Mountain,KLND,Lander,WY,,,,,
83,W-1941027,Snow,Light,2020-03-01 18:26:00,2020-03-01 18:53:00,US/Mountain,KLND,Lander,WY,,,,,
84,W-1941028,Snow,Moderate,2020-03-01 18:53:00,2020-03-01 20:00:00,US/Mountain,KLND,Lander,WY,,,,,
85,W-1941029,Snow,Light,2020-03-01 20:00:00,2020-03-01 21:23:00,US/Mountain,KLND,Lander,WY,,,,,
86,W-1941030,Fog,Severe,2020-03-09 08:53:00,2020-03-09 09:21:00,US/Mountain,KLND,Lander,WY,,,,,
87,W-1941031,Fog,Severe,2020-03-09 09:44:00,2020-03-09 10:13:00,US/Mountain,KLND,Lander,WY,,,,,
88,W-1941032,Fog,Severe,2020-03-09 10:44:00,2020-03-09 11:14:00,US/Mountain,KLND,Lander,WY,,,,,
89,W-1941033,Fog,Severe,2020-03-09 12:22:00,2020-03-09 12:38:00,US/Mountain,KLND,Lander,WY,,,,,
90,W-1941034,Fog,Severe,2020-03-09 14:20:00,2020-03-09 19:46:00,US/Mountain,KLND,Lander,WY,,,,,
91,W-1941035,Snow,Light,2020-03-12 15:53:00,2020-03-12 16:19:00,US/Mountain,KLND,Lander,WY,,,,,
92,W-1941036,Fog,Severe,2020-03-12 16:49:00,2020-03-12 17:23:00,US/Mountain,KLND,Lander,WY,,,,,
93,W-1941037,Fog,Severe,2020-03-12 19:58:00,2020-03-12 20:10:00,US/Mountain,KLND,Lander,WY,,,,,
94,W-1941038,Snow,Light,2020-03-13 16:53:00,2020-03-13 17:53:00,US/Mountain,KLND,Lander,WY,,,,,
95,W-1941039,Fog,Severe,2020-03-16 14:41:00,2020-03-16 17:53:00,US/Mountain,KLND,Lander,WY,,,,,
96,W-1941040,Fog,Severe,2020-03-16 18:00:00,2020-03-16 18:33:00,US/Mountain,KLND,Lander,WY,,,,,
97,W-1941041,Snow,Light,2020-03-19 15:53:00,2020-03-19 20:43:00,US/Mountain,KLND,Lander,WY,,,,,
98,W-1941042,Snow,Light,2020-03-20 01:53:00,2020-03-20 02:53:00,US/Mountain,KLND,Lander,WY,,,,,
99,W-1941043,Snow,Light,2020-03-26 10:53:00,2020-03-26 12:53:00,US/Mountain,KLND,Lander,WY,,,,,
100,W-1941044,Snow,Light,2020-04-02 03:30:00,2020-04-02 03:53:00,US/Mountain,KLND,Lander,WY,,,,,
101,W-1941045,Snow,Moderate,2020-04-02 03:53:00,2020-04-02 04:02:00,US/Mountain,KLND,Lander,WY,,,,,
102,W-1941046,Snow,Light,2020-04-02 04:02:00,2020-04-02 04:53:00,US/Mountain,KLND,Lander,WY,,,,,
103,W-1941047,Snow,Moderate,2020-04-02 04:53:00,2020-04-02 05:07:00,US/Mountain,KLND,Lander,WY,,,,,
104,W-1941048,Snow,Light,2020-04-02 05:07:00,2020-04-02 05:53:00,US/Mountain,KLND,Lander,WY,,,,,
105,W-1941049,Fog,Severe,2020-04-02 05:53:00,2020-04-02 06:43:00,US/Mountain,KLND,Lander,WY,,,,,
106,W-1941050,Snow,Moderate,2020-04-02 06:43:00,2020-04-02 07:04:00,US/Mountain,KLND,Lander,WY,,,,,
107,W-1941051,Snow,Light,2020-04-02 07:04:00,2020-04-02 07:51:00,US/Mountain,KLND,Lander,WY,,,,,
108,W-1941052,Snow,Heavy,2020-04-02 07:51:00,2020-04-02 08:06:00,US/Mountain,KLND,Lander,WY,,,,,
109,W-1941053,Snow,Light,2020-04-02 08:06:00,2020-04-02 08:41:00,US/Mountain,KLND,Lander,WY,,,,,
110,W-1941054,Snow,Heavy,2020-04-02 08:41:00,2020-04-02 09:17:00,US/Mountain,KLND,Lander,WY,,,,,
111,W-1941055,Snow,Moderate,2020-04-02 09:17:00,2020-04-02 10:01:00,US/Mountain,KLND,Lander,WY,,,,,
112,W-1941056,Snow,Light,2020-04-02 10:01:00,2020-04-02 19:25:00,US/Mountain,KLND,Lander,WY,,,,,
113,W-1941057,Snow,Light,2020-04-02 19:53:00,2020-04-02 20:38:00,US/Mountain,KLND,Lander,WY,,,,,
114,W-1941058,Snow,Light,2020-04-02 23:22:00,2020-04-03 01:53:00,US/Mountain,KLND,Lander,WY,,,,,
115,W-1941059,Snow,Light,2020-04-03 02:20:00,2020-04-03 02:45:00,US/Mountain,KLND,Lander,WY,,,,,
116,W-1941060,Fog,Severe,2020-04-03 13:39:00,2020-04-03 14:05:00,US/Mountain,KLND,Lander,WY,,,,,
117,W-1941061,Fog,Severe,2020-04-03 15:45:00,2020-04-03 15:58:00,US/Mountain,KLND,Lander,WY,,,,,
118,W-1941062,Rain,Light,2020-04-05 22:53:00,2020-04-05 23:53:00,US/Mountain,KLND,Lander,WY,,,,,
119,W-1941063,Storm,Severe,2020-04-06 19:53:00,2020-04-06 20:53:00,US/Mountain,KLND,Lander,WY,,,,,
120,W-1941064,Rain,Light,2020-04-09 04:53:00,2020-04-09 05:53:00,US/Mountain,KLND,Lander,WY,,,,,
121,W-1941065,Snow,Light,2020-04-12 01:45:00,2020-04-12 02:44:00,US/Mountain,KLND,Lander,WY,,,,,
122,W-1941066,Snow,Moderate,2020-04-12 02:44:00,2020-04-12 03:01:00,US/Mountain,KLND,Lander,WY,,,,,
123,W-1941067,Snow,Light,2020-04-12 03:01:00,2020-04-12 03:36:00,US/Mountain,KLND,Lander,WY,,,,,
124,W-1941068,Snow,Moderate,2020-04-12 03:36:00,2020-04-12 04:43:00,US/Mountain,KLND,Lander,WY,,,,,
125,W-1941069,Snow,Heavy,2020-04-12 04:43:00,2020-04-12 05:07:00,US/Mountain,KLND,Lander,WY,,,,,
126,W-1941070,Snow,Light,2020-04-12 05:07:00,2020-04-12 05:53:00,US/Mountain,KLND,Lander,WY,,,,,
127,W-1941071,Snow,Moderate,2020-04-12 05:53:00,2020-04-12 06:53:00,US/Mountain,KLND,Lander,WY,,,,,
128,W-1941072,Snow,Heavy,2020-04-12 06:53:00,2020-04-12 07:53:00,US/Mountain,KLND,Lander,WY,,,,,
129,W-1941073,Snow,Moderate,2020-04-12 07:53:00,2020-04-12 08:53:00,US/Mountain,KLND,Lander,WY,,,,,
130,W-1941074,Snow,Heavy,2020-04-12 08:53:00,2020-04-12 09:32:00,US/Mountain,KLND,Lander,WY,,,,,
131,W-1941075,Snow,Light,2020-04-12 09:32:00,2020-04-12 09:53:00,US/Mountain,KLND,Lander,WY,,,,,
132,W-1941076,Snow,Moderate,2020-04-12 09:53:00,2020-04-12 10:53:00,US/Mountain,KLND,Lander,WY,,,,,
133,W-1941077,Snow,Light,2020-04-12 10:53:00,2020-04-12 16:19:00,US/Mountain,KLND,Lander,WY,,,,,
134,W-1941078,Snow,Light,2020-04-12 16:29:00,2020-04-12 17:53:00,US/Mountain,KLND,Lander,WY,,,,,
135,W-1941079,Snow,Moderate,2020-04-12 17:53:00,2020-04-12 18:02:00,US/Mountain,KLND,Lander,WY,,,,,
136,W-1941080,Snow,Light,2020-04-12 18:02:00,2020-04-12 19:26:00,US/Mountain,KLND,Lander,WY,,,,,
137,W-1941081,Snow,Light,2020-04-12 20:22:00,2020-04-12 21:24:00,US/Mountain,KLND,Lander,WY,,,,,
138,W-1941082,Snow,Light,2020-04-12 22:15:00,2020-04-12 22:29:00,US/Mountain,KLND,Lander,WY,,,,,
139,W-1941083,Snow,Light,2020-04-13 03:08:00,2020-04-13 04:53:00,US/Mountain,KLND,Lander,WY,,,,,
140,W-1941084,Snow,Moderate,2020-04-13 04:53:00,2020-04-13 05:23:00,US/Mountain,KLND,Lander,WY,,,,,
141,W-1941085,Snow,Light,2020-04-13 05:23:00,2020-04-13 05:53:00,US/Mountain,KLND,Lander,WY,,,,,
142,W-1941086,Snow,Moderate,2020-04-13 05:53:00,2020-04-13 05:57:00,US/Mountain,KLND,Lander,WY,,,,,
143,W-1941087,Snow,Light,2020-04-13 05:57:00,2020-04-13 09:53:00,US/Mountain,KLND,Lander,WY,,,,,
144,W-1941088,Snow,Moderate,2020-04-13 09:53:00,2020-04-13 10:10:00,US/Mountain,KLND,Lander,WY,,,,,
145,W-1941089,Snow,Light,2020-04-13 10:10:00,2020-04-13 11:53:00,US/Mountain,KLND,Lander,WY,,,,,
146,W-1941090,Snow,Light,2020-04-13 12:53:00,2020-04-13 14:01:00,US/Mountain,KLND,Lander,WY,,,,,
147,W-1941091,Snow,Light,2020-04-15 19:53:00,2020-04-16 00:53:00,US/Mountain,KLND,Lander,WY,,,,,
148,W-1941092,Snow,Moderate,2020-04-16 00:53:00,2020-04-16 01:53:00,US/Mountain,KLND,Lander,WY,,,,,
149,W-1941093,Snow,Heavy,2020-04-16 01:53:00,2020-04-16 02:53:00,US/Mountain,KLND,Lander,WY,,,,,
150,W-1941094,Fog,Severe,2020-04-16 02:53:00,2020-04-16 14:03:00,US/Mountain,KLND,Lander,WY,,,,,
151,W-1941095,Snow,Light,2020-04-16 14:03:00,2020-04-16 15:49:00,US/Mountain,KLND,Lander,WY,,,,,
152,W-1941096,Snow,Moderate,2020-04-16 15:49:00,2020-04-16 16:10:00,US/Mountain,KLND,Lander,WY,,,,,
153,W-1941097,Snow,Light,2020-04-16 16:10:00,2020-04-16 16:42:00,US/Mountain,KLND,Lander,WY,,,,,
154,W-1941098,Snow,Moderate,2020-04-16 16:42:00,2020-04-16 16:51:00,US/Mountain,KLND,Lander,WY,,,,,
155,W-1941099,Snow,Heavy,2020-04-16 16:51:00,2020-04-16 17:04:00,US/Mountain,KLND,Lander,WY,,,,,
156,W-1941100,Snow,Light,2020-04-16 17:04:00,2020-04-16 18:13:00,US/Mountain,KLND,Lander,WY,,,,,
157,W-1941101,Rain,Light,2020-04-23 21:53:00,2020-04-23 22:53:00,US/Mountain,KLND,Lander,WY,,,,,
158,W-1941102,Rain,Light,2020-04-24 01:27:00,2020-04-24 02:35:00,US/Mountain,KLND,Lander,WY,,,,,
159,W-1941103,Rain,Light,2020-04-24 04:53:00,2020-04-24 06:28:00,US/Mountain,KLND,Lander,WY,,,,,
160,W-1941104,Storm,Severe,2020-04-30 22:53:00,2020-04-30 23:53:00,US/Mountain,KLND,Lander,WY,,,,,
161,W-1941105,Rain,Light,2020-05-01 19:53:00,2020-05-01 20:53:00,US/Mountain,KLND,Lander,WY,,,,,
162,W-1941106,Rain,Light,2020-05-09 01:48:00,2020-05-09 02:51:00,US/Mountain,KLND,Lander,WY,,,,,
163,W-1941107,Rain,Light,2020-05-09 03:29:00,2020-05-09 05:53:00,US/Mountain,KLND,Lander,WY,,,,,
164,W-1941108,Fog,Moderate,2020-05-10 07:53:00,2020-05-10 08:53:00,US/Mountain,KLND,Lander,WY,,,,,
165,W-1941109,Rain,Light,2020-05-12 00:53:00,2020-05-12 02:53:00,US/Mountain,KLND,Lander,WY,,,,,
166,W-1941110,Rain,Light,2020-05-12 11:53:00,2020-05-12 12:53:00,US/Mountain,KLND,Lander,WY,,,,,
167,W-1941111,Rain,Light,2020-05-13 11:53:00,2020-05-13 12:53:00,US/Mountain,KLND,Lander,WY,,,,,
168,W-1941112,Cold,Severe,2020-05-15 17:53:00,2020-05-15 18:53:00,US/Mountain,KLND,Lander,WY,,,,,
169,W-1941113,Rain,Light,2020-05-30 05:00:00,2020-05-30 05:53:00,US/Mountain,KLND,Lander,WY,,,,,
170,W-1941114,Storm,Severe,2020-05-30 23:53:00,2020-05-31 00:17:00,US/Mountain,KLND,Lander,WY,,,,,
171,W-1941115,Rain,Light,2020-06-03 19:53:00,2020-06-03 21:53:00,US/Mountain,KLND,Lander,WY,,,,,
172,W-1941116,Rain,Light,2020-06-06 21:53:00,2020-06-06 22:53:00,US/Mountain,KLND,Lander,WY,,,,,
173,W-1941117,Rain,Moderate,2020-06-06 22:53:00,2020-06-06 23:53:00,US/Mountain,KLND,Lander,WY,,,,,
174,W-1941118,Rain,Light,2020-06-07 00:49:00,2020-06-07 00:53:00,US/Mountain,KLND,Lander,WY,,,,,
175,W-1941119,Storm,Severe,2020-06-07 00:53:00,2020-06-07 01:53:00,US/Mountain,KLND,Lander,WY,,,,,
176,W-1941120,Rain,Light,2020-06-07 22:01:00,2020-06-07 22:17:00,US/Mountain,KLND,Lander,WY,,,,,
177,W-1941121,Rain,Light,2020-06-07 22:32:00,2020-06-07 22:53:00,US/Mountain,KLND,Lander,WY,,,,,
178,W-1941122,Storm,Severe,2020-06-13 18:53:00,2020-06-13 19:53:00,US/Mountain,KLND,Lander,WY,,,,,
179,W-1941123,Storm,Severe,2020-06-13 20:53:00,2020-06-13 21:53:00,US/Mountain,KLND,Lander,WY,,,,,
180,W-1941124,Rain,Light,2020-06-17 02:53:00,2020-06-17 04:53:00,US/Mountain,KLND,Lander,WY,,,,,
181,W-1941125,Rain,Light,2020-06-17 13:53:00,2020-06-17 14:53:00,US/Mountain,KLND,Lander,WY,,,,,
182,W-1941126,Rain,Light,2020-06-19 00:27:00,2020-06-19 00:53:00,US/Mountain,KLND,Lander,WY,,,,,
183,W-1941127,Rain,Light,2020-06-25 01:53:00,2020-06-25 02:53:00,US/Mountain,KLND,Lander,WY,,,,,
184,W-1941128,Rain,Light,2020-06-25 23:53:00,2020-06-26 00:07:00,US/Mountain,KLND,Lander,WY,,,,,
185,W-1941129,Rain,Light,2020-06-26 04:53:00,2020-06-26 06:53:00,US/Mountain,KLND,Lander,WY,,,,,
186,W-1941130,Rain,Light,2020-06-28 17:53:00,2020-06-28 18:53:00,US/Mountain,KLND,Lander,WY,,,,,
187,W-1941131,Rain,Light,2020-06-28 23:27:00,2020-06-28 23:53:00,US/Mountain,KLND,Lander,WY,,,,,
188,W-1941132,Rain,Light,2020-06-29 06:53:00,2020-06-29 07:53:00,US/Mountain,KLND,Lander,WY,,,,,
189,W-1941133,Rain,Light,2020-07-12 20:53:00,2020-07-12 21:53:00,US/Mountain,KLND,Lander,WY,,,,,
190,W-1941134,Rain,Light,2020-07-23 06:53:00,2020-07-23 07:53:00,US/Mountain,KLND,Lander,WY,,,,,
191,W-1941135,Rain,Light,2020-07-24 01:15:00,2020-07-24 02:53:00,US/Mountain,KLND,Lander,WY,,,,,
192,W-1941136,Rain,Light,2020-07-27 20:53:00,2020-07-27 21:00:00,US/Mountain,KLND,Lander,WY,,,,,
