,EventId,Type,Severity,TimeZone,AirportCode,City,State,date
0,W-1722,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-01
1,W-1723,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-02
7,W-1729,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-10
8,W-1730,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-12
9,W-1731,Fog,Severe,US/Mountain,K04V,Saguache,CO,2020-01-17
14,W-1736,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-22
17,W-1739,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-01-27
19,W-1741,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-02-03
21,W-1743,Fog,Moderate,US/Mountain,K04V,Saguache,CO,2020-02-04
24,W-1746,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-02-07
35,W-1757,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-02-10
40,W-1762,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-02-11
45,W-1767,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-02-17
47,W-1769,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-02-23
54,W-1776,Storm,Severe,US/Mountain,K04V,Saguache,CO,2020-02-24
56,W-1778,Cold,Severe,US/Mountain,K04V,Saguache,CO,2020-02-26
58,W-1780,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-03-08
61,W-1783,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-03-09
62,W-1784,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-03-13
68,W-1790,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-03-19
74,W-1796,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-03-20
79,W-1801,Fog,Severe,US/Mountain,K04V,Saguache,CO,2020-03-22
80,W-1802,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-03-24
81,W-1803,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-03-28
84,W-1806,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-03-30
86,W-1808,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-04-03
87,W-1809,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-04-10
88,W-1810,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-04-12
94,W-1816,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-04-14
95,W-1817,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-04-17
96,W-1818,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-04-21
97,W-1819,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-04-22
102,W-1824,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-04-24
104,W-1826,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-11
107,W-1829,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-12
108,W-1830,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-15
109,W-1831,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-27
111,W-1833,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-28
114,W-1836,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-29
118,W-1840,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-05-31
122,W-1844,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-01
124,W-1846,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-02
126,W-1848,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-03
127,W-1849,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-04
129,W-1851,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-05
130,W-1852,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-06
133,W-1855,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-09
135,W-1857,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-14
137,W-1859,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-16
138,W-1860,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-19
139,W-1861,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-20
140,W-1862,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-25
141,W-1863,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-26
143,W-1865,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-28
144,W-1866,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-04
146,W-1868,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-05
147,W-1869,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-06
148,W-1870,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-12
149,W-1871,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-13
151,W-1873,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-14
153,W-1875,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-15
156,W-1878,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-16
157,W-1879,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-17
158,W-1880,Precipitation,UNK,US/Mountain,K04V,Saguache,CO,2020-07-25
159,W-1881,Precipitation,UNK,US/Mountain,K04V,Saguache,CO,2020-07-27
160,W-1882,Precipitation,UNK,US/Mountain,K04V,Saguache,CO,2020-08-31
161,W-1883,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-09-09
177,W-1899,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-09-10
190,W-1912,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-09-20
191,W-1913,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-09-22
192,W-1914,Storm,Severe,US/Mountain,K04V,Saguache,CO,2020-09-27
193,W-1915,Storm,Severe,US/Mountain,K04V,Saguache,CO,2020-10-14
194,W-1916,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-10-26
200,W-1922,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-11-08
202,W-1924,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-11-09
207,W-1929,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-11-10
208,W-1930,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-11-14
212,W-1934,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-11-23
214,W-1936,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-11-24
219,W-1941,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-01
220,W-1942,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-10
221,W-1943,Snow,Moderate,US/Mountain,K04V,Saguache,CO,2020-12-11
227,W-1949,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-12
228,W-1950,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-15
232,W-1954,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-12-18
